hw(rs1),HW
14,139
10,122
15,132
10,123
8,108
5,81
1,21
9,102
2,40
12,125
2,40
8,113
2,43
14,142
10,119
14,116
10,121
2,38
17,135
15,144
3,56
16,137
14,125
9,122
14,128
2,40
8,107
3,55
16,128
17,134
17,126
17,129
17,137
4,64
16,126
6,93
0,1
4,71
11,119
9,117
3,45
10,105
16,106
5,84
0,3
14,140
3,60
16,124
2,38
19,129
15,135
0,3
11,122
16,124
15,151
15,140
16,120
2,39
15,126
3,57
12,115
17,109
8,102
14,123
14,127
9,96
7,97
17,121
8,117
15,141
15,102
12,134
2,35
15,131
10,110
15,129
17,123
13,138
16,118
4,69
14,129
5,74
1,21
14,128
15,119
19,118
16,132
17,133
6,77
12,126
13,118
16,140
9,115
13,128
0,3
3,49
11,117
13,147
16,128
10,122
11,124
17,112
14,141
9,111
13,135
16,126
10,131
8,111
13,138
16,132
16,136
16,131
3,48
12,130
16,142
6,87
2,41
8,103
14,131
8,111
12,120
11,126
13,141
13,138
2,40
9,112
14,132
18,144
17,126
11,114
2,43
16,128
2,33
15,133
14,124
0,3
12,122
4,70
6,89
12,107
14,141
2,43
16,144
12,125
10,128
0,1
2,35
16,131
2,35
0,3
12,133
0,3
1,23
17,124
16,134
2,38
10,109
2,34
12,140
16,136
16,122
7,101
12,134
11,118
3,57
9,105
12,111
9,122
10,118
12,108
1,21
13,139
7,91
9,110
16,115
15,119
12,131
19,118
9,111
14,127
14,133
19,141
13,124
15,134
15,127
18,128
17,142
11,136
17,123
12,140
14,135
17,119
5,76
12,116
18,131
15,135
2,40
7,107
2,39
17,112
3,58
16,116
3,55
6,81
14,127
8,103
9,98
11,126
14,135
16,126
3,56
2,42
7,105
12,141
15,142
18,140
14,116
3,47
10,114
4,70
8,123
17,143
11,134
15,126
9,113
11,113
0,3
12,126
11,112
16,122
16,115
11,124
14,142
6,78
15,124
14,127
16,124
15,121
15,130
4,62
5,70
10,110
16,125
14,143
13,126
11,134
6,83
16,143
15,142
13,122
15,132
3,53
0,3
14,144
13,108
15,130
10,110
2,35
11,122
3,55
11,127
10,141
15,143
11,135
3,57
14,109
0,3
6,90
5,81
13,134
3,54
12,117
5,82
5,81
16,138
10,120
15,116
10,124
9,119
0,3
15,136
12,132
3,57
10,109
2,31
8,113
16,141
10,113
2,39
3,53
10,99
15,126
14,127
1,23
15,127
18,115
12,124
9,114
18,129
15,109
10,122
11,125
18,139
11,108
